yt_id,start_seconds,end_seconds,positive_labels,downloaded
B22gKoTyOfM, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
B9Sd9ubebhY, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
Bs2KqqI9F_k, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly']",False
CIiA39U8UTw, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
CTWtiwntfgw, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
D05-MrPXqjw, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
D1tajOObltQ, 15.000, 25.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
DJXQV_oKyjE, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
DK_6C29B2zs, 14.000, 24.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
DPdAsDw3chc, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
Daqv2F6SEmQ, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",False
DcbzE8AnLcE, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
E-nunSOWtMs, 70.000, 80.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
EGR7EIz9JQ4, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
EaTdesZG5PY, 260.000, 270.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
F6IUxAJutsk, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
F6oEu35qy_A, 25.000, 35.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
F9Dbcxr-lAI, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
FgiGqzj8Hkk, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
FhaxyhtVfCA, 11.000, 21.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
FpsBLinFYik, 12.000, 22.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
GB_lCwieXTc, 420.000, 430.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",False
GbIuxmaiCOk, 122.000, 132.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
H6c8ZDrdUaM, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
HOOK6E_Hogg, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
IIzMqbTNYOA, 410.000, 420.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
Ia6C4k0o2hc, 20.000, 30.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
IiCh2H3JtsE, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
InrS4Fdndr4, 0.000, 10.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
IzKed528MCk, 70.000, 80.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07qv_d5', '/m/07r04', '/m/07yv9']",True
JWd6vF4yfG8, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
KhxVbkznUNI, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
L5ohzqF0ZHQ, 20.000, 30.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
LNQ7fzfdLiY, 150.000, 160.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
MEUcv-QM0cQ, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
MVM5RlkTh6E, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
N-6HKjQwPTo, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
NDovY5OEt2o, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
O8DtnVJN_dY, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
PIJlDJhWEEg, 70.000, 80.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']",False
Q6CqAFnP2Fg, 10.000, 20.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
QZKH9-7cpq8, 470.000, 480.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
Q_yoAT1Z3Yw, 22.000, 32.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
Qd5qSAXSLN4, 10.000, 20.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']",True
RAB0TWMYQHI, 0.000, 10.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
RSAyz5c3JmM, 160.000, 170.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
SY35Ms-l_9E, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",False
Sj9_5H1nqfo, 200.000, 210.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
Sqpkv9fnxqw, 210.000, 220.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
Wxiwqieqy2Y, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
XC-QWABOjcg, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
XYLDjkXAuec, 380.000, 390.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9', '/m/0912c9']",True
ZANp2W2q0XA, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
ZZO50JTetDE, 580.000, 590.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
ZtxAGRDyw-I, 60.000, 70.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
ZvcqyRbXyls, 30.000, 40.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
_A30xsFBMXA, 40.000, 50.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
_uswoJHYy14, 60.000, 70.000,"['/m/012ndj', '/m/03j1ly', '/m/07qfr4h', '/m/07r04', '/m/07yv9', '/m/09x0r', '/m/0k4j', '/t/dd00128']",True
_z5KQY02rYI, 2.000, 12.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
aOqleVQCmwI, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
bA8mt0JI0Ko, 30.000, 40.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
c7YGJfuV_2Q, 140.000, 150.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
cHm1cYBAXMI, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",False
cWskti2sCCM, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
eIMjkADTWzA, 60.000, 70.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9']",True
eZGa_sYbq5A, 10.000, 20.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
fTcSVQJ2h8g, 50.000, 60.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
fbH3SQk7X4k, 60.000, 70.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
fjWN2sQcR2s, 30.000, 40.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
g0RkIkC2meo, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
gCnOTL_Fzik, 210.000, 220.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
g_DBLppDZAs, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
gwAP-vfQyRU, 6.000, 16.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
hRdkmwuv13s, 220.000, 230.000,"['/m/012ndj', '/m/09x0r', '/t/dd00121']",True
hSAVR0LcQp8, 280.000, 290.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
iE8pSulXDuc, 90.000, 100.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
j0CcOZJLBDg, 20.000, 30.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
kSjvt2Z_pBo, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",False
kr8ssbrDDMY, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
l70yarlcd-I, 29.000, 39.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
l7Wo_s7HFIY, 190.000, 200.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
m-2-HsrBkak, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
m1GaYAKcH9g, 50.000, 60.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
n6SvDBZaCUQ, 0.000, 6.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
nCwLfofMoZM, 40.000, 50.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
nLzSz0qDT68, 10.000, 20.000,"['/m/03kmc9', '/m/04qvtq', '/m/0chx_']",True
o3F3tUpmVaw, 30.000, 40.000,"['/m/04qvtq', '/m/07s02z0', '/m/09x0r']",True
oL_LsXoZSKE, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
oPR7tUEUptk, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
oZoJ26C6LrU, 100.000, 110.000,"['/m/04qvtq', '/m/04rlf', '/m/07rrh0c']",True
pJaLxsCM7rc, 190.000, 200.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
pNrnDUg0dng, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
q4Z8j3IalYs, 100.000, 110.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
qhyrLOJ7LcQ, 440.000, 450.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
qkvIEmIRP4g, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
rCQykaL8Hy4, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/0c1dj']",True
rbjtk9WU33Q, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
rx3fg5zGSxg, 350.000, 360.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
sHfT0t3vgTg, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
sKpc0yiNeiU, 30.000, 40.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
stzU1dO7FQY, 30.000, 40.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
uX7mY7Y27ao, 20.000, 30.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
vfUgQTKgKDI, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/t/dd00134']",True
wlh0rZfrclI, 30.000, 40.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
wxCduHF0GKI, 0.000, 10.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
xZ8hQliZqhg, 320.000, 330.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
xqILXIFBZfQ, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
z-PhNB64zoU, 50.000, 60.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
zMveZHACzmo, 90.000, 100.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
zbiJEml563w, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
--gKfbzT1VY, 20.000, 30.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9', '/t/dd00128']",False
--ljM2Kojag, 30.000, 40.000,"['/m/012n7d', '/m/04rlf', '/m/07yv9']",False
-0Eem_FuIto, 15.000, 25.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
-0Hf2I8AFI8, 20.000, 30.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07qv_d5', '/m/07r04', '/m/07yv9', '/m/0btp2', '/m/0k4j']",True
-0cEwYGf9OE, 0.000, 10.000,"['/m/028v0c', '/m/03j1ly', '/m/07yv9', '/m/0k4j', '/t/dd00128']",False
-122tCXtFhU, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq', '/m/07yv9', '/m/0k4j']",True
-1U98XBTyB4, 30.000, 40.000,['/m/04qvtq'],True
-25_9bBK-l4, 30.000, 40.000,['/m/04qvtq'],True
-2GlU3e0nTU, 170.000, 180.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
-2sT5oBBWWY, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']",True
-35_gJSKJkk, 10.000, 20.000,"['/m/012ndj', '/m/07r04', '/m/07yv9']",False
-3oUmjZ4b9o, 50.000, 60.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']",True
-45cKZA7Jww, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07q2z82', '/m/07r04', '/m/07yv9', '/m/09x0r', '/t/dd00066']",True
-4B435WQvag, 20.000, 30.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04']",True
-4F1TX-T6T4, 30.000, 40.000,"['/m/012n7d', '/m/07yv9']",False
-4Sby7Cij8w, 120.000, 130.000,"['/m/012ndj', '/m/09x0r', '/m/0ytgt']",False
-4XAxg0q2tU, 70.000, 80.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']",True
-5EiLqHCLuI, 0.000, 10.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",False
-5o4C4ZtHSU, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
-6WqJCSmkCw, 70.000, 80.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
-6qVAuzmscU, 0.000, 10.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",False
-6qhtwdfGOA, 23.000, 33.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
-72pUaj4jLE, 10.000, 20.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/07yv9']",True
-7HVWUwyMig, 30.000, 40.000,"['/m/012n7d', '/m/07yv9', '/m/09x0r']",True
-8K_V4VdkfM, 20.000, 30.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/07yv9', '/m/09x0r']",True
-8mcyL3kWNQ, 330.000, 340.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
-8uyNBFbdFc, 40.000, 50.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']",True
-92omiHkXQE, 500.000, 510.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
-9pUUT-6o8U, 30.000, 40.000,"['/m/012n7d', '/m/07yv9', '/m/09x0r']",True
-A2_dAe2rKo, 30.000, 40.000,"['/m/03j1ly', '/m/07q2z82', '/m/07yv9', '/m/0k4j']",True
-AF7wp3ezww, 140.000, 150.000,"['/m/04qvtq', '/m/07yv9', '/m/0k4j']",True
-AFASmp1fpk, 6.000, 16.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
-AwaisiFQjY, 70.000, 80.000,"['/m/012n7d', '/m/07yv9', '/m/09x0r', '/t/dd00128']",True
-DFmWLDkxQg, 30.000, 40.000,"['/m/02mk9', '/m/03j1ly', '/m/07pb8fc', '/m/07q2z82', '/m/07r04', '/m/07yv9', '/m/09x0r']",True
-DXUMMSmd-A, 20.000, 30.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/07r04', '/m/07yv9']",True
-Ei2LE71Dfg, 20.000, 30.000,"['/m/012n7d', '/m/03j1ly', '/m/07r04', '/m/07yv9']",True
-F2lk9A8B8M, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
-FDuKNxl3KE, 0.000, 10.000,"['/m/012n7d', '/m/07q2z82', '/m/07yv9']",True
-FRe0sQuLpk, 24.000, 34.000,"['/m/03j1ly', '/m/07r04', '/m/07yv9']",False
-G4K4IAbB3o, 390.000, 400.000,"['/m/04qvtq', '/m/04rlf', '/m/09x0r']",False
-GPv09qi9A8, 120.000, 130.000,['/m/04qvtq'],False
-HIPemUA6V4, 220.000, 230.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9', '/m/09x0r']",True
-HZbxhzv_SU, 10.000, 20.000,"['/m/012n7d', '/m/068hy', '/m/07qf0zm', '/m/0bt9lr', '/m/0jbk']",True
-Hi-WpRGUpc, 9.000, 19.000,"['/m/03kmc9', '/m/04qvtq', '/m/09x0r']",False
-HxRz4w60-Y, 150.000, 160.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
-Jsu4dbuO4A, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']",True
-KsPTvgJJVE, 350.000, 360.000,"['/m/012ndj', '/m/04qvtq', '/m/04rlf', '/m/09x0r']",False
-LGTb-xyjzA, 11.000, 21.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
-LMA6Y2P5MY, 160.000, 170.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
-MfBpxtGQmE, 20.000, 30.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
-Mqa-jaS9SU, 10.000, 20.000,"['/m/03kmc9', '/m/04qvtq', '/m/09x0r']",True
-Nc_WkxjQuc, 30.000, 40.000,"['/m/012ndj', '/m/04qvtq']",True
-OtwXXpRB5I, 10.000, 20.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
-PRrNx6_MD0, 16.000, 26.000,"['/m/012ndj', '/m/07r04', '/m/07yv9']",True
-Pg4vVPs4bE, 30.000, 40.000,"['/m/04qvtq', '/m/07yv9', '/m/0k4j']",True
-QBo1W2w8II, 30.000, 40.000,['/m/012ndj'],True
-QX-ddNtUvE, 24.000, 34.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/07yv9']",True
-RlUu1el2G4, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07yv9']",True
-SRUaM41sJI, 180.000, 190.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
-SYDLBJMPSs, 80.000, 90.000,"['/m/012n7d', '/m/07yv9', '/m/09x0r']",True
-SkO97C81Ms, 30.000, 40.000,"['/m/012ndj', '/m/02mk9', '/m/03j1ly', '/m/07yv9', '/t/dd00067']",True
-SvcF5Z_yEw, 30.000, 40.000,"['/m/03j1ly', '/m/07r04', '/m/07yv9']",False
-T8QHPXfIC4, 13.000, 23.000,"['/m/012ndj', '/m/02mk9', '/m/03j1ly', '/m/07yv9']",True
-TCqYh0NeRk, 30.000, 40.000,"['/m/012f08', '/m/03j1ly', '/m/03kmc9', '/m/07yv9']",True
-UBVqmhbT50, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
-UCf_-3yzWU, 290.000, 300.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
-USiTjZoh88, 30.000, 40.000,"['/m/012ndj', '/m/09x0r']",True
-VULyMtKazE, 0.000, 7.000,"['/m/04qvtq', '/m/07yv9', '/m/0k4j']",True
-X0vNLwH1C0, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']",True
-XRiLbb3Syo, 2.000, 12.000,"['/m/04qvtq', '/m/09x0r']",True
-XrpzGb6xCU, 190.000, 200.000,"['/m/04qvtq', '/m/07yv9']",True
-YsrLG2K1TE, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9']",True
-Z3ByS_RCwI, 30.000, 40.000,"['/m/012ndj', '/m/09x0r']",False
-ZeMV790MXE, 10.000, 20.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
-ZjtUhLYB3w, 70.000, 80.000,"['/m/012f08', '/m/03j1ly', '/m/07r04', '/m/07yv9', '/m/09x0r', '/m/0k4j']",True
-ZtZOcg3s7M, 30.000, 40.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
-_8fdnv6Crg, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",False
-ab9rbF2it4, 100.000, 110.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
-az6BooRLxw, 40.000, 50.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
-bfdae74ahc, 0.000, 10.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
-bs3c27rEtc, 30.000, 40.000,"['/m/04qvtq', '/m/09x0r']",False
-cOjJ0Nvtlw, 23.000, 33.000,"['/m/012ndj', '/m/07yv9', '/m/09x0r']",True
-cbYvBBXE6A, 12.000, 22.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9', '/m/09x0r', '/m/0k4j']",True
-cvGWVM9P-M, 230.000, 240.000,"['/m/04qvtq', '/m/07yv9', '/m/09x0r', '/t/dd00128']",True
-cvWHrNC6ts, 3.000, 13.000,['/m/03j1ly'],True
-d-T8Y9-TOg, 17.000, 27.000,"['/m/012n7d', '/m/07yv9']",True
-dBTGdL4RFs, 30.000, 40.000,"['/m/03kmc9', '/m/04qvtq']",True
-dcrL5JLmvo, 11.000, 21.000,"['/m/012n7d', '/m/07yv9']",False
-eFFN1zrSIw, 100.000, 110.000,"['/m/03j1ly', '/m/07yv9', '/m/09x0r']",True
-fCSO8SVWZU, 6.000, 16.000,"['/m/012n7d', '/m/07yv9']",True
