yt_id,start_seconds,end_seconds,positive_labels,downloaded
7e-t0ifYooQ, 80.000, 90.000,['/m/02mfyn'],True
wFZeGxlLgr8, 10.000, 20.000,"['/m/04_sv', '/m/07yv9', '/t/dd00128']",True
NK3dIMi2R3c, 30.000, 40.000,"['/m/07r04', '/m/07yv9']",False
axGRNbQoyek, 30.000, 40.000,"['/m/0195fx', '/m/01g50p', '/m/06d_3', '/m/07jdr', '/t/dd00048']",True
IXoOE9_OCW4, 200.000, 210.000,"['/m/0199g', '/m/04rlf', '/m/07yv9', '/m/09x0r']",True
4ySfSIAcev4, 1.000, 11.000,['/t/dd00134'],True
92BRGZgrM-0, 11.000, 21.000,"['/m/02mk9', '/m/07pb8fc', '/m/07q2z82', '/m/07yv9', '/m/0k4j']",True
OSmpy5yygzs, 170.000, 180.000,"['/m/0195fx', '/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']",True
mkrYGQLuNdE, 250.000, 260.000,['/m/06_fw'],True
FQEYf7YqC4k, 30.000, 40.000,['/m/030rvx'],True
zpsOHpUwUfY, 0.000, 10.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/m/0912c9']",True
9uaq0rodvcA, 30.000, 40.000,"['/m/01bjv', '/m/07yv9']",True
sgqratIJUcc, 490.000, 500.000,"['/m/07r04', '/m/07yv9']",True
5J-_16lbO3o, 150.000, 160.000,"['/m/09x0r', '/m/0c3f7m']",False
Fuhe0vSWNQ8, 170.000, 180.000,['/m/06_fw'],True
SFOvWj2xrrA, 30.000, 40.000,"['/m/04rlf', '/m/09x0r']",True
WgU225oMh7c, 100.000, 110.000,"['/m/02rhddq', '/m/07yv9', '/m/09x0r', '/m/0k4j']",True
TD58ipyKPRk, 0.000, 7.000,"['/m/02mk9', '/m/07pb8fc', '/m/07yv9', '/t/dd00066']",True
ee_Gpa9Ejvo, 180.000, 190.000,['/m/04fq5q'],True
0SchXNwH9P0, 80.000, 90.000,"['/m/03kmc9', '/m/0dgbq']",True
cl43_YdaeSA, 0.000, 10.000,['/m/02mfyn'],True
iAimvjAI8kY, 100.000, 110.000,"['/m/02fs_r', '/m/03v3yw', '/m/09x0r']",True
kPljxIqcdUQ, 50.000, 60.000,"['/m/07r04', '/m/07yv9', '/m/0912c9']",False
GHT8qbx260Q, 30.000, 40.000,"['/m/04rlf', '/m/07qv_d5']",True
45T-QifnyCA, 50.000, 60.000,['/m/04gxbd'],False
y37YsVJwSFQ, 0.000, 10.000,"['/m/07yv9', '/m/0912c9']",False
grhs1IGBtZg, 60.000, 70.000,"['/m/03cl9h', '/m/04rlf']",True
j5aLSMtU8Xc, 30.000, 40.000,['/t/dd00134'],True
4C_XVreRipI, 30.000, 40.000,"['/m/01bjv', '/m/07yv9']",True
1ySWMaR5x2w, 30.000, 40.000,"['/m/01yrx', '/m/068hy', '/m/07qrkrw', '/m/09x0r', '/m/0jbk']",True
4Z8FLwV6KX0, 10.000, 20.000,"['/m/07yv9', '/m/0gvgw0']",True
VRUHtn0La6c, 150.000, 160.000,"['/m/09x0r', '/t/dd00127']",True
ylisKtkZ9Jc, 10.000, 20.000,['/m/03cl9h'],True
3MalXBPphwU, 19.000, 29.000,"['/m/07yv9', '/m/0k4j']",True
lxf1vtFXKwE, 0.000, 10.000,['/m/02mfyn'],True
tjxSAVsipAQ, 49.000, 59.000,"['/m/04rlf', '/m/06_fw']",True
I4sK5jqtqCE, 0.000, 10.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']",True
HsE-0EkQ3-8, 420.000, 430.000,"['/m/015lz1', '/m/04rlf']",False
vhG5pTQznzw, 20.000, 30.000,['/m/0199g'],True
bkC1HuqyaIw, 60.000, 70.000,['/m/0199g'],True
nsqrMQ6ZEoU, 60.000, 70.000,"['/m/03p19w', '/m/04_sv', '/m/04rlf', '/m/07yv9', '/m/0k4j']",True
ysQWQIBJhb0, 30.000, 40.000,"['/m/0199g', '/m/04rlf', '/m/07yv9', '/m/09x0r']",False
GEaOWeaSBOs, 90.000, 100.000,"['/m/012f08', '/m/01bjv', '/m/07yv9']",False
JPTBkETjuxc, 10.000, 20.000,"['/m/01y3hg', '/m/07pp_mv']",True
unh6JQFb40A, 0.000, 5.000,"['/m/0912c9', '/t/dd00128']",True
rQUxU9iNeYM, 30.000, 40.000,"['/m/07qjznl', '/m/0gy1t2s']",True
H3QbjqMYqkk, 29.000, 39.000,"['/m/09x0r', '/m/0c3f7m']",True
-pynjgJyw8Y, 30.000, 40.000,"['/m/03_d0', '/m/04rlf']",False
hctTzV64Y2s, 230.000, 240.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/t/dd00048']",True
vN3_owSULzo, 60.000, 70.000,"['/m/02mk9', '/m/07q2z82', '/m/07yv9']",True
G8HYlqLiJXE, 180.000, 190.000,"['/m/01bjv', '/m/07qv_d5', '/m/07yv9', '/m/09x0r', '/t/dd00128']",True
cMZfg9cWX-s, 170.000, 180.000,"['/m/04rlf', '/m/06_fw']",True
9uu3YNFYwSk, 40.000, 50.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']",True
xwFJAczEYkc, 110.000, 120.000,"['/m/09x0r', '/t/dd00128']",False
Q0GkDenZjnA, 70.000, 80.000,"['/m/01bjv', '/m/07yv9']",True
wM5Qf5xXT8w, 410.000, 420.000,"['/m/07yv9', '/m/09x0r', '/m/0h9mv', '/m/0k4j', '/m/0ltv']",True
a-jY94Z7_Jk, 0.000, 10.000,"['/m/012f08', '/m/01yg9g', '/m/07yv9']",True
FYSsz9K2g2U, 350.000, 360.000,"['/m/01y3hg', '/m/09x0r', '/t/dd00125']",True
2fcRgD4T3f8, 30.000, 40.000,"['/m/07yv9', '/m/0k4j', '/t/dd00134']",True
X1B6bDrgzXM, 50.000, 60.000,['/t/dd00048'],True
BBKRJy2pDtc, 90.000, 100.000,"['/m/04_sv', '/m/07yv9', '/m/09x0r']",True
zJ_sOxTCa64, 260.000, 270.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr']",True
guLQv-LIh4o, 30.000, 40.000,"['/m/04rlf', '/m/09x0r']",False
2uMXfAIMeN0, 180.000, 190.000,"['/m/04gxbd', '/m/07yv9', '/m/0k4j']",True
9iThbKmN4o8, 70.000, 80.000,['/m/02rhddq'],True
sHlSXvFcg2E, 60.000, 70.000,"['/m/04_sv', '/m/07yv9', '/m/09x0r', '/t/dd00128']",True
iqNm_UaNOAU, 520.000, 530.000,"['/m/012f08', '/m/04_sv', '/m/07yv9']",False
OkSslKGBTvE, 30.000, 40.000,"['/m/07yv9', '/m/0gvgw0']",False
dUHCTE6eQXA, 250.000, 260.000,['/m/0c3f7m'],False
iHAnJM4AaMM, 40.000, 50.000,"['/m/01jwx6', '/m/04_sv', '/m/07yv9']",True
L_iZBKn_X_0, 5.000, 15.000,"['/m/01bjv', '/m/07yv9', '/m/0912c9', '/m/09x0r', '/t/dd00128']",True
deDUEiI1oC0, 0.000, 10.000,"['/m/02y_763', '/m/04gxbd']",True
iJMAAJb6mkA, 0.000, 10.000,"['/m/012f08', '/m/02mk9', '/m/07yv9', '/m/0k4j']",False
xBZX87GeKnQ, 30.000, 40.000,"['/m/01bjv', '/m/07yv9', '/m/09x0r']",True
Rpbrxh46zy0, 230.000, 240.000,"['/m/09x0r', '/m/0gy1t2s']",False
xzQQlvhXwW0, 30.000, 40.000,['/m/0dgbq'],True
EgmbA0dgZ60, 40.000, 50.000,"['/m/07yv9', '/m/0k4j', '/m/0ltv']",True
araHPadf4Wg, 50.000, 60.000,"['/m/07yv9', '/m/0h9mv', '/m/0k4j', '/m/0ltv']",True
RakVgIRN8RI, 250.000, 260.000,"['/m/04gxbd', '/m/09x0r', '/t/dd00129']",True
gnvDy8YMizY, 100.000, 110.000,"['/m/07yv9', '/m/09x0r', '/m/0k4j', '/m/0ltv', '/t/dd00128']",True
kwSj8TJjv7U, 60.000, 70.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/t/dd00048']",True
SBMu-rqaO-A, 90.000, 100.000,"['/m/07r04', '/m/07yv9', '/m/09x0r', '/t/dd00129']",True
hGlRn9dZntw, 10.000, 20.000,"['/m/07yv9', '/m/09x0r', '/m/0ltv', '/t/dd00129']",True
02l3BDai-PM, 30.000, 40.000,"['/m/012f08', '/m/04rlf', '/m/07yv9', '/m/09x0r', '/m/0k4j', '/t/dd00134']",True
sPwhr-5HPb0, 60.000, 70.000,['/m/04fq5q'],True
JBCyJiXVyFg, 470.000, 480.000,"['/m/02fs_r', '/m/09x0r', '/t/dd00125']",True
4NBWuXz3CyU, 10.000, 20.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']",True
-yCQG9pXf_U, 30.000, 40.000,"['/m/04_sv', '/m/07yv9']",False
sk6f_K3Bq-s, 80.000, 90.000,"['/m/015lz1', '/m/04rlf', '/t/dd00125']",True
E7QtK3dGXOA, 40.000, 50.000,"['/m/04_sv', '/m/07yv9']",True
m6E0en3m2WM, 10.000, 20.000,"['/m/04_sv', '/m/07yv9']",True
9gTihz9JROI, 30.000, 40.000,"['/m/0195fx', '/m/01g50p', '/m/07jdr', '/m/07yv9']",True
zII2PsLmeJg, 30.000, 40.000,"['/m/012f08', '/m/03cl9h', '/m/04rlf', '/m/07yv9', '/m/09x0r']",True
V6_kCgbft7M, 10.000, 20.000,['/m/07pp_mv'],True
9yZ6wQ4kzy4, 560.000, 570.000,"['/m/02fs_r', '/m/09x0r']",True
5qM2BHT3TEQ, 40.000, 50.000,"['/m/012f08', '/m/07yv9', '/m/09x0r', '/m/0btp2', '/m/0k4j']",True
AiQoXi32QIA, 0.000, 10.000,"['/m/07qv_d5', '/m/07r04', '/m/07yv9', '/m/0912c9', '/m/0k4j']",True
zDVQUPmg7eQ, 30.000, 40.000,"['/m/01g50p', '/m/07jdr', '/m/07yv9', '/t/dd00128']",True
3ZR573JL2r4, 80.000, 90.000,"['/m/01g50p', '/m/04zmvq', '/m/07jdr', '/m/07yv9']",True
0j23QEDyhxM, 30.000, 40.000,"['/m/02rhddq', '/m/07yv9']",False
6g_f7nT49oM, 30.000, 40.000,"['/m/01bjv', '/m/07yv9', '/m/09x0r']",True
eqeDHOs2HOo, 20.000, 30.000,"['/m/02mk9', '/m/09x0r']",True
AwXB2ojwGt4, 30.000, 40.000,"['/m/0195fx', '/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9']",True
ZpOKmL-4AQI, 26.000, 36.000,['/m/0912c9'],False
VqRVirCwJfw, 20.000, 30.000,"['/m/04rlf', '/m/06_fw', '/m/09x0r']",True
3XneTRFbYVk, 410.000, 420.000,['/t/dd00129'],True
xXAcRwYkgBY, 510.000, 520.000,"['/m/04gxbd', '/m/07yv9', '/m/09x0r']",True
_1AHbyGZ3QQ, 260.000, 270.000,"['/m/06d_3', '/m/07jdr', '/m/07qv_d5', '/m/07yv9', '/m/0912c9']",True
BzBVnuJczJo, 50.000, 60.000,"['/m/04rlf', '/m/06_fw', '/t/dd00128']",True
q3B0c1y_wgU, 30.000, 40.000,"['/m/030rvx', '/m/09x0r']",True
-kGU5xVPeiY, 8.000, 18.000,"['/m/02fs_r', '/m/09x0r']",True
oRj0Pd3Fv-Y, 430.000, 440.000,"['/m/04rlf', '/m/09x0r']",True
H2S8rASuMYo, 20.000, 30.000,"['/m/07rknqz', '/m/07yv9', '/m/0k4j', '/m/0ltv']",True
twbb7L3L-to, 20.000, 30.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9']",True
lp66EaEOOoU, 30.000, 40.000,"['/m/02mk9', '/m/03cl9h', '/m/04rlf', '/m/07r04', '/m/07yv9']",True
Rso7hK-V2fc, 30.000, 40.000,['/m/02mfyn'],False
lBUIMdkWEhg, 70.000, 80.000,"['/m/012f08', '/m/01bjv', '/m/07yv9', '/m/09x0r']",True
POL8Fiez4Yk, 30.000, 40.000,['/t/dd00134'],True
Pl7r8xDQi00, 350.000, 360.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/t/dd00048']",True
JImkUjKIVio, 60.000, 70.000,['/m/02mfyn'],True
9-WguotwxTE, 30.000, 40.000,"['/m/07r04', '/m/07yv9', '/m/0gvgw0']",True
Afz1P80GyiI, 100.000, 110.000,['/m/0gy1t2s'],True
1KoMh7ioBm8, 40.000, 50.000,"['/m/01y3hg', '/m/09x0r']",False
77DHZFJZnK4, 30.000, 40.000,"['/m/02rhddq', '/m/07r04', '/m/07yv9', '/m/09x0r']",True
6AEp4tpPWqE, 80.000, 90.000,"['/m/02rr_', '/m/04rlf']",True
zAPZ6CaxqJI, 50.000, 60.000,"['/m/04_sv', '/m/07yv9', '/t/dd00128']",True
zNuT6b5vAnU, 30.000, 40.000,"['/m/01y3hg', '/m/0c3f7m']",True
Q1KF1xdyL1E, 0.000, 10.000,"['/m/07q2z82', '/m/07yv9', '/m/0h9mv', '/m/0k4j', '/m/0ltv']",True
D-gM1MN_5s4, 30.000, 40.000,"['/m/01bjv', '/m/07yv9', '/m/09x0r']",True
m8O3gLoFBSY, 0.000, 10.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']",True
RiO_iCKhzag, 30.000, 40.000,['/m/0912c9'],False
dH5LQEGNq4Y, 390.000, 400.000,"['/m/06d_3', '/m/06wzb', '/m/07jdr', '/m/07yv9']",False
gU0mD2fSh4c, 500.000, 510.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']",True
_UvrBHzpWF4, 0.000, 10.000,['/m/030rvx'],True
C-uP1XY52Nc, 120.000, 130.000,"['/m/01yg9g', '/m/04_sv', '/m/07yv9']",True
YDrl-IMbvHU, 23.000, 33.000,['/t/dd00134'],True
wDfUyxBdCU0, 30.000, 40.000,"['/m/07yv9', '/m/09x0r', '/m/0gvgw0']",True
o_zRlMKGu9E, 30.000, 40.000,"['/m/01bjv', '/m/02rhddq', '/m/04rlf', '/m/07yv9']",True
FdpMkc7wDTE, 30.000, 40.000,"['/m/02fs_r', '/m/04rlf', '/m/09x0r']",True
gxbYoNcsXJA, 30.000, 40.000,['/m/0btp2'],True
kH6fFjIZkB0, 30.000, 40.000,"['/m/02rhddq', '/m/07pb8fc', '/m/07r04', '/m/07yv9']",True
LuFqIFC06Co, 10.000, 20.000,"['/m/06_fw', '/m/09x0r']",True
5bzGB3TYUiE, 30.000, 40.000,"['/m/07yv9', '/m/0912c9', '/m/09x0r']",True
EFqOq-mTq3A, 30.000, 40.000,['/m/09x0r'],True
w-5nHvqT2_U, 20.000, 30.000,"['/m/02rhddq', '/t/dd00129']",True
5zMlJ335nhk, 30.000, 40.000,"['/m/02rhddq', '/m/09x0r']",True
