yt_id,start_seconds,end_seconds,positive_labels
OMdf5pJNryQ, 110.000, 120.000,"['/m/0195fx', '/m/01g50p', '/m/06d_3', '/m/07jdr', '/t/dd00048']"
c1yk5hn-jbI, 30.000, 40.000,"['/m/03kmc9', '/m/0dgbq']"
n6pJ-z68NHY, 80.000, 90.000,"['/m/01g50p', '/m/04zmvq', '/m/06hck5', '/m/07jdr', '/m/07yv9']"
3PnrygwXpmo, 30.000, 40.000,"['/m/012f08', '/m/02mk9', '/m/07pb8fc', '/m/07q2z82', '/m/07yv9', '/m/0k4j', '/t/dd00066']"
-Hcx0xgEOGw, 110.000, 120.000,"['/m/01bjv', '/m/03qtwd', '/m/04rlf', '/m/07yv9', '/m/09x0r']"
A35lknCoU80, 2.000, 12.000,"['/m/07rbp7_', '/t/dd00134']"
_sYHAeuo_nU, 0.000, 10.000,"['/m/04_sv', '/m/07yv9', '/t/dd00129']"
Kl8PWIYq0Fw, 50.000, 60.000,"['/m/04_sv', '/m/07yv9']"
bDWIJ0_2Dqk, 0.000, 10.000,"['/m/03cl9h', '/m/04rlf', '/m/07yv9', '/m/09x0r']"
OGWsCiA_yZI, 40.000, 50.000,"['/m/07yv9', '/m/0k4j', '/m/0ltv', '/t/dd00128']"
LzF9BklayLA, 0.000, 10.000,['/m/04gxbd']
l5Ns6j_2Q4E, 0.000, 10.000,"['/m/07yv9', '/m/0h9mv', '/m/0k4j', '/m/0ltv']"
U0p9xvVE-V0, 30.000, 40.000,"['/m/04rlf', '/m/07yv9', '/m/09x0r', '/m/0gvgw0']"
DKUkVBxejPQ, 30.000, 40.000,"['/m/04_sv', '/m/09x0r']"
1WFLYqsLvv0, 0.000, 10.000,"['/m/01y3hg', '/m/0c3f7m']"
xHtARu14ILk, 70.000, 80.000,"['/m/01g50p', '/m/06d_3', '/m/06wzb', '/m/07jdr', '/m/07yv9']"
2xbDDX16N_o, 30.000, 40.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/t/dd00048']"
WxPBSJsUEhU, 21.000, 31.000,"['/m/0395lw', '/m/09x0r', '/m/0gy1t2s']"
Q0Wl_S9GfQU, 30.000, 40.000,"['/m/09x0r', '/t/dd00134']"
ZmGb3V9405s, 130.000, 140.000,['/m/02mk9']
_M8X7Lm5oNE, 150.000, 160.000,"['/m/06d_3', '/m/07jdr']"
3j5npewz9q0, 30.000, 40.000,"['/m/07jdr', '/t/dd00128', '/t/dd00129']"
HL5jH0QsZts, 30.000, 40.000,"['/m/01bjv', '/m/07yv9', '/m/09x0r']"
xU4f6untR_Y, 30.000, 40.000,"['/m/04rlf', '/m/09x0r']"
J9p0M9Lt60I, 180.000, 190.000,"['/m/04rlf', '/m/06d_3', '/m/09x0r', '/t/dd00048', '/t/dd00127']"
jR8hvWb8sSk, 4.000, 14.000,"['/m/07yv9', '/m/0912c9', '/m/0k4j', '/t/dd00128']"
SRfgMPeNH3o, 200.000, 210.000,"['/m/015lz1', '/m/04rlf', '/t/dd00126']"
LdLDpqKhtqE, 10.000, 20.000,"['/m/07rknqz', '/m/07yv9']"
8kE_2-BnQFY, 10.000, 20.000,"['/m/030rvx', '/m/04rlf']"
qmESqQW545I, 170.000, 180.000,['/m/02mfyn']
ULXMaD_Drn4, 280.000, 290.000,"['/m/09x0r', '/m/0c3f7m']"
4-Aiw071Sas, 30.000, 40.000,"['/m/02rhddq', '/m/07r04', '/m/07yv9', '/m/0gvgw0']"
oF8-fmj93xw, 260.000, 270.000,"['/m/09x0r', '/m/0c3f7m']"
IlspQDe-paU, 160.000, 170.000,"['/m/04gxbd', '/m/07yv9']"
Eifjuvn307w, 10.000, 20.000,"['/m/04_sv', '/m/07yv9', '/m/09x0r']"
Y5mgaETWnhM, 10.000, 20.000,"['/m/07yv9', '/m/0gvgw0', '/m/0k4j']"
3cy7OWQIsWk, 580.000, 590.000,"['/m/06_fw', '/m/09x0r']"
XIcz-qpcjfc, 0.000, 10.000,"['/m/012f08', '/m/07yv9', '/m/0k4j']"
Kls1CWVJVW4, 60.000, 70.000,"['/m/09x0r', '/m/0gy1t2s']"
Kyu3NyCp_-M, 100.000, 110.000,"['/m/012f08', '/m/07yv9', '/m/0k4j']"
6NpUhgmi0vc, 420.000, 430.000,"['/m/07yv9', '/m/09x0r', '/m/0k4j']"
1T0l08JsAF4, 40.000, 50.000,"['/m/07rknqz', '/m/07yv9', '/m/0k4j', '/m/0ltv']"
BTtw0R90EvA, 30.000, 40.000,"['/m/02mk9', '/m/07yv9', '/m/0k5j', '/t/dd00067']"
EuZjMYsCx5M, 0.000, 3.000,['/m/02fs_r']
B-AHJfsQRRA, 120.000, 130.000,"['/m/07yv9', '/m/0h9mv', '/m/0k4j', '/m/0ltv']"
h4BTjcY3khU, 420.000, 430.000,"['/m/07r04', '/m/07yv9', '/m/09x0r', '/t/dd00128']"
l5IEFoQ_BTQ, 340.000, 350.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr', '/t/dd00048']"
177e2ZgZkMg, 30.000, 40.000,"['/m/07r04', '/m/07yv9', '/m/09x0r']"
80AOLFCjrOQ, 40.000, 50.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']"
SZ2VcPXi8AU, 40.000, 50.000,"['/m/09x0r', '/m/0btp2']"
2zlHq_EO2iw, 230.000, 240.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9']"
PNZUEAkSKq4, 10.000, 20.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']"
KI6S-7QxleE, 10.000, 20.000,"['/m/0284vy3', '/m/07jdr']"
CmqlBdWtDH8, 30.000, 40.000,"['/m/012f08', '/m/04_sv', '/m/07pdhp0']"
fa58WMMibPA, 200.000, 210.000,"['/m/0199g', '/m/07yv9', '/t/dd00129']"
1TtqW71rr4o, 30.000, 40.000,"['/m/0195fx', '/m/07jdr', '/m/07yv9']"
8PIxF9EFz8o, 12.000, 22.000,"['/m/06_fw', '/m/09x0r']"
4MIHbR4QZhE, 30.000, 40.000,"['/m/02rhddq', '/m/09x0r']"
02W6VBraJ2g, 30.000, 40.000,"['/m/015p6', '/m/0h0rv', '/t/dd00128']"
9EsgN-WS2qY, 30.000, 40.000,"['/m/02rhddq', '/m/07r04', '/m/07yv9', '/m/09x0r']"
TN-CQFlXD9U, 200.000, 210.000,"['/m/06_fw', '/m/09x0r']"
dJER9X3L_Yg, 340.000, 350.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/m/09x0r']"
4mGaFnUKsbM, 24.000, 34.000,"['/m/01bjv', '/m/07yv9', '/m/09x0r']"
dPwPuUpqa80, 10.000, 20.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr', '/m/07yv9']"
WC61Qp2bt-s, 170.000, 180.000,"['/m/07rknqz', '/m/07yv9', '/m/0h9mv', '/m/0k4j', '/m/0ltv']"
Kf9Kr69mwOA, 14.000, 24.000,['/m/02mfyn']
0wLZWnzeaQA, 260.000, 270.000,"['/m/04gxbd', '/m/07yv9', '/m/09x0r', '/m/0k4j']"
pcRhhSdpbqg, 30.000, 40.000,"['/m/01y3hg', '/m/09x0r', '/m/0c3f7m']"
VFmpgHPUk8s, 60.000, 70.000,['/m/03cl9h']
3zZKyuJKYKc, 220.000, 230.000,"['/m/01y3hg', '/m/07pp_mv', '/m/0c3f7m']"
8TTcRAiqYGM, 340.000, 350.000,['/m/04zmvq']
jMzOXb9tng8, 30.000, 40.000,"['/m/07jdr', '/m/07yv9', '/m/09x0r', '/t/dd00127']"
fGnBV08W-mg, 0.000, 10.000,"['/m/028v0c', '/m/07pp_mv', '/m/09x0r', '/t/dd00125']"
Ep93R0Ma6Cg, 190.000, 200.000,['/m/07pp_mv']
WwAcAzq7uiw, 30.000, 40.000,['/m/04gxbd']
0Hz4R_m0hmI, 80.000, 90.000,['/m/02mfyn']
8pYHLfKqHL4, 230.000, 240.000,"['/m/04fq5q', '/m/04rlf', '/t/dd00126']"
zNWrgdyUd2U, 140.000, 150.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9']"
HBNJ-vqxvO0, 10.000, 20.000,"['/m/02dgv', '/m/02y_763', '/m/04gxbd', '/m/09x0r']"
6u0IrUM2XoQ, 10.000, 20.000,"['/m/04_sv', '/m/07yv9', '/m/09x0r', '/t/dd00128']"
NxDB4c6zNXo, 0.000, 9.000,"['/m/07yv9', '/m/0k4j']"
AiTmA55mZNA, 25.000, 35.000,"['/m/07yv9', '/m/0btp2']"
3FYFAeVoEkM, 30.000, 40.000,"['/m/01y3hg', '/m/09x0r', '/m/0c3f7m']"
fUF_yAwdZR4, 10.000, 20.000,"['/m/07yv9', '/m/0k4j', '/m/0ltv', '/t/dd00128']"
2D1BygJ4pNs, 15.000, 25.000,"['/m/07yv9', '/m/0912c9', '/t/dd00128']"
VYSe7SymxwQ, 270.000, 280.000,"['/m/04rlf', '/m/07yv9', '/m/0h9mv', '/m/0ltv']"
8q_mVvjySmQ, 30.000, 40.000,"['/m/07r04', '/m/07yv9', '/m/09x0r']"
H9JIW-qJBqQ, 30.000, 40.000,"['/m/01bjv', '/m/07yv9']"
Cn0u4dhskoY, 30.000, 40.000,['/m/02fs_r']
gqPj-axDt8w, 520.000, 530.000,"['/m/04gxbd', '/m/07yv9', '/m/09x0r', '/m/0k4j']"
mjpqaEtOjDI, 30.000, 40.000,"['/m/04rlf', '/m/09x0r']"
vWjAGD7t5Gk, 40.000, 50.000,"['/m/07qv_d5', '/m/09x0r', '/t/dd00129']"
5DjZHCumLfs, 11.000, 21.000,"['/m/02rhddq', '/m/07r04', '/m/07yv9']"
7mWGFovz8JY, 7.000, 17.000,['/m/07pp_mv']
bqkMbQREKhc, 120.000, 130.000,"['/m/015lz1', '/m/04rlf']"
DK1WTB73FJc, 0.000, 10.000,['/m/06_fw']
07J4uVMPSW4, 30.000, 40.000,"['/m/0199g', '/m/07yv9', '/m/09x0r']"
VZ83sKMxoks, 30.000, 40.000,"['/m/09x0r', '/t/dd00128']"
uUV7Y4f0WCI, 50.000, 60.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']"
GIN-MEzZ0q0, 20.000, 30.000,"['/m/06d_3', '/m/07jdr', '/m/07yv9', '/t/dd00048']"
Bzjoyz4F-jY, 30.000, 40.000,"['/m/07yv9', '/m/0gvgw0']"
QvJ1fZklelg, 30.000, 40.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']"
56NY56QrjII, 30.000, 40.000,"['/m/0199g', '/m/07yv9', '/m/09x0r']"
5uLIPWySWXw, 30.000, 40.000,['/m/02mfyn']
dUHCTE6eQXA, 250.000, 260.000,['/m/0c3f7m']
k1E1an8B9Y4, 130.000, 140.000,"['/m/012f08', '/m/02mk9', '/m/07yv9', '/m/09x0r', '/m/0k4j']"
FADVOjv0Bzc, 30.000, 40.000,['/m/07qv_d5']
aWF0RrU2g4o, 80.000, 90.000,"['/m/015lz1', '/m/04rlf', '/m/0g293']"
9-Mb68CFeC8, 30.000, 40.000,"['/m/07rknqz', '/m/07yv9', '/m/0h9mv', '/m/0k4j', '/m/0ltv']"
ht6Wn8eU-Pg, 30.000, 40.000,"['/m/03cl9h', '/m/04rlf']"
NHNZU1w8i54, 360.000, 370.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/t/dd00048']"
M4fHpRTVN4k, 70.000, 80.000,"['/m/02pjr4', '/m/07yv9', '/m/0ltv']"
IEtTOE6FMAU, 30.000, 40.000,"['/m/01g50p', '/m/07jdr', '/m/07yv9', '/t/dd00128']"
_myM2uwndPs, 360.000, 370.000,"['/m/01bjv', '/m/07yv9', '/m/0btp2', '/t/dd00128']"
CuFUzmcI3dI, 260.000, 270.000,"['/m/015lz1', '/m/04rlf', '/t/dd00125']"
dDJlxNXXEj0, 20.000, 30.000,"['/m/07r04', '/m/07yv9', '/m/0912c9']"
AEQIqmUhBLc, 16.000, 26.000,"['/m/07yv9', '/m/09x0r', '/m/0k4j']"
W9aT6tHnFko, 30.000, 40.000,['/m/0c3f7m']
NU4PMSto7-k, 20.000, 30.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/t/dd00048']"
B_RLJLys5YM, 28.000, 38.000,['/m/02mfyn']
9j11t5dENec, 340.000, 350.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9']"
-wjOlrUIwjk, 30.000, 40.000,"['/m/04rlf', '/m/07yv9', '/m/09x0r', '/m/0gvgw0']"
kTIO8dGavsg, 0.000, 10.000,"['/m/0199g', '/m/09x0r']"
0PJ6PRTzoWs, 110.000, 120.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']"
hh25UgugvQU, 20.000, 30.000,"['/m/012f08', '/m/07r04', '/m/07yv9', '/m/0btp2']"
Y5Z_QkEC1oE, 120.000, 130.000,['/m/0c3f7m']
Ea-zrVS6pLM, 0.000, 8.000,['/m/0gy1t2s']
FBpES7AA_WA, 280.000, 290.000,['/m/03cl9h']
2HMzL9kCJQo, 30.000, 40.000,"['/m/09x0r', '/t/dd00129']"
yOaQTZCr27I, 5.000, 15.000,['/m/07pp_mv']
CHY7WclU5w0, 60.000, 70.000,"['/m/07jdr', '/m/07yv9', '/t/dd00048', '/t/dd00128']"
J6SDQPuDJDg, 30.000, 40.000,['/m/02mfyn']
-Xoc22J31lA, 80.000, 90.000,"['/m/0838f', '/m/09x0r', '/t/dd00129']"
GxRcNe7FCrI, 30.000, 40.000,"['/m/01g50p', '/m/07jdr', '/m/07yv9', '/t/dd00128']"
kPIGN1jZdpk, 10.000, 20.000,"['/m/03cl9h', '/m/04rlf', '/m/09x0r']"
Fd_RFhtQn94, 30.000, 40.000,"['/m/03kmc9', '/m/0dgbq']"
W_Dx7wyD-bc, 20.000, 30.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']"
L9dAl6ufk4E, 30.000, 40.000,"['/m/03kmc9', '/m/0dgbq']"
_Gqx5-6qiLo, 60.000, 70.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']"
44EVQH3_Sz0, 190.000, 200.000,"['/m/04fq5q', '/m/04rlf']"
CN3nSRQFKmM, 10.000, 20.000,"['/m/01y3hg', '/m/030rvx', '/m/0c3f7m', '/t/dd00125']"
s2zTotRctJs, 20.000, 30.000,"['/m/04rlf', '/t/dd00128']"
WQMYzvErvyc, 0.000, 10.000,['/m/03cl9h']
v4lb2hg7a7g, 20.000, 30.000,"['/m/06d_3', '/m/07jdr', '/t/dd00129']"
-u9BxBNcrw4, 30.000, 40.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']"
emn-Iz35_IQ, 11.000, 21.000,"['/m/07r04', '/m/07yv9']"
a3FD-228ZvQ, 410.000, 420.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/t/dd00048']"
TGsyJ5bPO0Y, 30.000, 40.000,"['/m/04rlf', '/m/06j6l']"
9xFXcBNlcqs, 0.000, 10.000,"['/m/0gy1t2s', '/t/dd00125']"
gTleRq7EKc0, 10.000, 20.000,"['/m/01bjv', '/m/07yv9', '/m/09x0r']"
PYzrulz8trM, 13.000, 23.000,['/m/0284vy3']
jwKbu3M0HVY, 30.000, 40.000,"['/m/01bjv', '/m/07yv9']"
Vl1KL34fknw, 30.000, 40.000,['/m/09x0r']
On27Ww5nLhs, 250.000, 260.000,"['/m/04fq5q', '/m/09x0r']"
wvSLiViRn2g, 30.000, 40.000,"['/m/03kmc9', '/m/0dgbq']"
KHtQKOrBfWk, 30.000, 40.000,"['/m/04rlf', '/m/09x0r']"
BxfQHjD6IKo, 30.000, 40.000,"['/m/02mk9', '/m/07pb8fc', '/t/dd00066']"
HEATE5pDMqg, 0.000, 10.000,['/m/02mk9']
8vEPbxIFXSo, 340.000, 350.000,"['/m/04gxbd', '/m/0k4j']"
2gglio4c-HY, 470.000, 480.000,['/m/04fq5q']
H5x4vclZM8o, 300.000, 310.000,"['/m/07pp_mv', '/m/09x0r', '/m/0c3f7m']"
MUksgxwsiKE, 110.000, 120.000,"['/m/09x0r', '/m/0c3f7m']"
wfxil0p9Uw0, 20.000, 30.000,"['/m/01y3hg', '/m/09x0r']"
J07FQ7wnx1g, 80.000, 90.000,"['/m/01g50p', '/m/04zmvq', '/m/07jdr', '/m/07yv9', '/m/0912c9']"
4IRBLOBkg6A, 0.000, 10.000,"['/m/07yv9', '/m/0h9mv', '/m/0k4j']"
7waWJ4PD23U, 90.000, 100.000,"['/m/0284vy3', '/m/04zmvq', '/m/07jdr', '/m/07yv9', '/m/0912c9']"
BdbKamnop4Q, 10.000, 20.000,"['/m/06d_3', '/m/07jdr', '/m/07yv9', '/t/dd00128']"
FRTZ3kpkN-8, 30.000, 40.000,"['/m/07yv9', '/m/0btp2', '/m/0k4j']"
0ct9AETvIdE, 30.000, 40.000,['/m/02mfyn']
2ZVFpnkD35M, 10.000, 20.000,['/m/015lz1']
hwhn1w4Pa90, 10.000, 20.000,"['/m/04rlf', '/m/07qv_d5', '/m/07yv9', '/m/0912c9', '/m/0k4j']"
wQ7aoZPyobU, 450.000, 460.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/m/09x0r']"
PKPqKoAe354, 30.000, 40.000,['/m/02mk9']
_zqJom1B_oE, 0.000, 10.000,"['/m/012f08', '/m/03qtwd', '/m/07qv_d5', '/m/07yv9', '/m/0k4j']"
IdpHIxYjqv4, 310.000, 320.000,"['/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
1K3NZHv-1RQ, 120.000, 130.000,['/m/01y3hg']
YXDmJ9FdGj8, 6.000, 16.000,"['/m/030rvx', '/m/09x0r']"
1PaQmRw_VIs, 100.000, 110.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']"
qb20rEqR6eE, 20.000, 30.000,['/m/02fs_r']
NZthSRu0WyM, 30.000, 40.000,['/t/dd00134']
BbIYGDaxUuQ, 30.000, 40.000,"['/m/04_sv', '/m/04rlf', '/m/07yv9']"
4KXJsoRSk9s, 30.000, 40.000,"['/m/04rlf', '/t/dd00003']"
FTXVxyQvNug, 0.000, 10.000,"['/m/012f08', '/m/02mk9', '/m/07yv9', '/m/09x0r', '/m/0k4j']"
prO2w2BUhJI, 20.000, 30.000,['/m/02mfyn']
ulOc2HiWXKA, 90.000, 100.000,['/m/02mfyn']
XzdYVmk5Fuk, 30.000, 40.000,['/m/09x0r']
ee_Gpa9Ejvo, 180.000, 190.000,['/m/04fq5q']
RO3_D6uWarM, 30.000, 40.000,"['/m/01g50p', '/m/04zmvq', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/t/dd00129']"
ezBA88L6knY, 30.000, 40.000,"['/m/03kmc9', '/m/0dgbq']"
5fCbOg3el8E, 30.000, 40.000,"['/m/02rhddq', '/m/07r04', '/m/07yv9', '/m/09x0r']"
WXyPW4Rcrwk, 0.000, 10.000,"['/m/04rlf', '/m/07yv9', '/m/0k4j', '/t/dd00134']"
C2PUN97Rv2k, 20.000, 30.000,"['/m/02rhddq', '/m/07yv9', '/t/dd00128']"
I2jtnKbJCyc, 30.000, 40.000,"['/m/07yv9', '/m/09x0r', '/m/0k4j', '/t/dd00134']"
8uXj91aotUg, 30.000, 40.000,"['/m/07yv9', '/m/0gvgw0']"
83ggkOq8NvM, 30.000, 40.000,"['/m/07r04', '/m/07yv9', '/t/dd00128']"
bsPW0-F9FKY, 120.000, 130.000,"['/m/07yv9', '/m/0k4j']"
kEF65Em06o4, 50.000, 60.000,"['/m/012f08', '/m/02mk9', '/m/07yv9', '/m/0k4j']"
_IUn7NSQBcQ, 30.000, 40.000,"['/m/04rlf', '/m/09x0r']"
B0f3QYWaCJg, 8.000, 18.000,['/m/04fq5q']
UPUwaW8jfhA, 30.000, 40.000,"['/m/03cl9h', '/m/04rlf', '/m/07yv9', '/m/09x0r', '/m/0ytgt']"
ztkbggCcCjA, 120.000, 130.000,['/m/09x0r']
MOe2g0a5680, 30.000, 40.000,"['/m/07yv9', '/m/0ltv']"
dcvWzGK65Do, 60.000, 70.000,"['/m/07yv9', '/m/0h9mv', '/m/0k4j']"
hxXx0k9L3bs, 350.000, 360.000,"['/m/09x0r', '/t/dd00128']"
YsazMmKCq1E, 30.000, 40.000,"['/m/015p6', '/m/0h0rv', '/t/dd00129']"
aCIQ71BkUUU, 30.000, 40.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']"
_JjyTbf5EvY, 90.000, 100.000,"['/m/03kmc9', '/m/0dgbq']"
3y3lzgYYuoQ, 100.000, 110.000,"['/m/0199g', '/m/09x0r']"
WbEWevbJ0Es, 3.000, 13.000,"['/m/03cl9h', '/m/04rlf']"
0QKj8bSma1g, 90.000, 100.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']"
4xcSq8UjPCI, 30.000, 40.000,"['/m/09x0r', '/m/0c3f7m']"
g0cY4DSdAOY, 350.000, 360.000,['/m/06_fw']
PYWvJnYRWeY, 30.000, 40.000,"['/m/02rhddq', '/m/07r04', '/m/07yv9']"
PHzZWzRRb7I, 240.000, 250.000,"['/m/07pp_mv', '/m/0c3f7m']"
J6uwAKXTNEo, 30.000, 40.000,"['/m/09x0r', '/m/0c3f7m']"
NyT8rRl6nd8, 8.000, 18.000,['/m/0c3f7m']
Xun1TJcGMlE, 20.000, 30.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']"
jbUpEO6QmTw, 30.000, 40.000,"['/m/07r04', '/m/07yv9']"
4dV01cWW_aY, 40.000, 50.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/m/09x0r']"
MGXswaCb2m8, 520.000, 530.000,"['/m/07yv9', '/m/0k4j', '/m/0ltv']"
PKU_rbxQQy0, 420.000, 430.000,"['/m/06d_3', '/m/07jdr', '/m/07rjwbb', '/m/07yv9', '/m/09x0r', '/t/dd00128']"
lwLk_X9xYJA, 90.000, 100.000,"['/m/03cl9h', '/m/04rlf']"
RvpHzYQqbe8, 0.000, 9.000,"['/m/07yv9', '/m/0912c9', '/t/dd00128']"
bd4qCVvRo9g, 30.000, 40.000,"['/m/03kmc9', '/m/0dgbq']"
zKO68vwATLs, 10.000, 20.000,"['/m/09x0r', '/t/dd00129']"
M0Xde0Y5wPw, 0.000, 10.000,"['/m/04_sv', '/m/07yv9']"
xRSipdLQdgw, 30.000, 40.000,['/m/015lz1']
-w1jJlj4Dx8, 30.000, 40.000,"['/m/04rlf', '/m/07rknqz', '/m/07yv9', '/m/0k4j']"
DE5W7eW9Y0s, 10.000, 20.000,"['/m/04rlf', '/m/09x0r']"
ASkd3sAonZY, 30.000, 40.000,"['/m/04rlf', '/m/04szw', '/m/07y_7']"
G_zKv8oHhRc, 10.000, 20.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/m/09x0r', '/t/dd00048']"
XhMLDxebC3g, 140.000, 150.000,"['/m/07yv9', '/m/0k4j', '/t/dd00129']"
hxdFU-T60rg, 30.000, 40.000,"['/m/04_sv', '/m/09x0r']"
KRN4k96LO3c, 30.000, 40.000,['/m/02mfyn']
ABymBA4EQIE, 0.000, 10.000,"['/m/04rlf', '/m/07yv9', '/m/0btp2', '/m/0k4j']"
PJFr1Mwnzgs, 60.000, 70.000,"['/m/02mk9', '/m/07yv9']"
pL9r5gXRX8Q, 520.000, 530.000,"['/m/02mk9', '/m/09x0r', '/t/dd00128']"
ljJqlAdJW-k, 30.000, 40.000,"['/m/09x0r', '/t/dd00128']"
8WF4WNRwIp0, 40.000, 50.000,"['/m/09x0r', '/m/0c3f7m', '/t/dd00125']"
Ym-MI4AxEAQ, 29.000, 39.000,"['/m/03kmc9', '/m/0dgbq']"
bakGJxJ4pxY, 40.000, 50.000,['/m/02mfyn']
uHCcFynCWrc, 190.000, 200.000,"['/m/07pp_mv', '/m/09x0r', '/t/dd00125']"
C-1lF-sRc3M, 60.000, 70.000,"['/m/028v0c', '/m/09x0r', '/t/dd00128']"
IAXDcpM4GOw, 110.000, 120.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/t/dd00048', '/t/dd00128']"
R_Lpb-51Kl4, 30.000, 40.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']"
4SPt923OGzM, 0.000, 10.000,"['/m/01g50p', '/m/04zmvq', '/m/06d_3', '/m/07jdr', '/m/07yv9']"
YNzwFO_Yv64, 50.000, 60.000,"['/m/02mk9', '/m/04_sv', '/m/07qn4z3', '/m/07yv9', '/t/dd00066']"
O6VfhrJlil4, 30.000, 40.000,"['/m/07yv9', '/m/0k4j', '/t/dd00134']"
FKb-3rBKtNw, 430.000, 440.000,"['/m/0195fx', '/m/01g50p', '/m/06d_3', '/m/07jdr']"
T8S5S-sHfmI, 60.000, 70.000,['/m/04gxbd']
mZqtjm6bIyM, 30.000, 40.000,"['/m/02fs_r', '/m/09x0r']"
CMRXz4g4Na4, 11.000, 21.000,"['/m/07jdr', '/m/07yv9', '/t/dd00128']"
tsFGSjZzBRM, 390.000, 400.000,"['/m/04zmvq', '/m/06hck5', '/m/06wzb', '/m/07rjwbb']"
6B17zCobk0E, 0.000, 10.000,['/m/04gxbd']
CQKw1bD4JeY, 30.000, 40.000,"['/m/03kmc9', '/m/0dgbq']"
RMspncG_DKU, 230.000, 240.000,"['/m/04gxbd', '/m/07yv9', '/m/09x0r', '/m/0k4j']"
