yt_id,start_seconds,end_seconds,positive_labels
LLmMCjc8Bmg, 40.000, 50.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
M04EdgCw1Mk, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
M1kL1VKZ0uo, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
MvvZ2akuEKU, 0.000, 10.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
NUJuiMKbyhc, 250.000, 260.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
NuZqqcO2_Ok, 13.000, 23.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
O7Ae53L5U1Q, 1.000, 11.000,"['/m/02mfyn', '/m/03kmc9', '/m/04qvtq']"
OLVYyUZrDdE, 180.000, 190.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
OY6OMbGAovE, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
Pi4In494rAg, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
Pn-iPvAD7aA, 15.000, 25.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']"
Py4g6GeGHjQ, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
QO5mHY6Y5h4, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
RQeDG6hDGl0, 180.000, 190.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
RZIVGgQzUJU, 0.000, 10.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
RscrFWDOntw, 330.000, 340.000,"['/m/02_41', '/m/03j1ly', '/m/03kmc9', '/m/03m9d0z', '/m/04qvtq']"
Rtel5iGCPO8, 40.000, 50.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
STs2rg4uLF0, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
SVGT6J6G4ts, 11.000, 21.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
SXQF06ZPEi8, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
SsYJ8SRGCVg, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
UNERF2UwHXk, 430.000, 440.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
UbkUtLiMNSI, 100.000, 110.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
VT_BC6l_HeY, 0.000, 10.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
VXI3-DI4xNs, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
WQWUEZtm8Jw, 30.000, 40.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
W_1YEyhD3ko, 140.000, 150.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
Wqn38dNWFsc, 180.000, 190.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
WtvSnE0-N4M, 120.000, 130.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
XW1WkG6ADtQ, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
Y9ys-Yx5_j0, 10.000, 20.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
ZCgE23s5bt0, 30.000, 40.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
ZGNVQpRqZ4Y, 50.000, 60.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
ZQnAtQmUhKQ, 400.000, 410.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
ZVDtuzPVlgU, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
_RUKvt068Po, 100.000, 110.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
_VhZ0z8UlD0, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
_lkuZpt1Jt0, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
aLHxMaT3uYg, 80.000, 90.000,"['/m/012ndj', '/m/03j1ly', '/m/07qv_d5', '/m/07r04', '/m/07yv9', '/m/0912c9']"
aOmRbSkPdVw, 250.000, 260.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
a_mdhaQPQ3w, 60.000, 70.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']"
bDNz4NDWzaM, 70.000, 80.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
bo_KcZvGHJw, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
bublmh2Nm-M, 100.000, 110.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
d04-EBJMLsA, 30.000, 40.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
eJpxPl22F6w, 110.000, 120.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
f9rClVI52e0, 150.000, 160.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
fFzUndjB_bU, 30.000, 40.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
fKBY2_IG86g, 130.000, 140.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
foLEI7XUaBM, 330.000, 340.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
gjroPMQJ3M8, 0.000, 10.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
huMQnPm6qK0, 30.000, 40.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
j1N909f8Obg, 50.000, 60.000,"['/m/012n7d', '/m/07sx8x_', '/m/0ytgt']"
j1cL9eMKgck, 280.000, 290.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
jZnLtcRKxss, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
jhOQDoavJvk, 210.000, 220.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
jvRhGrWnQLA, 440.000, 450.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
lXZvyoTPpoc, 10.000, 20.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
lYYKDnied3g, 50.000, 60.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
ldPcujHM1RQ, 30.000, 40.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']"
liDk5JhUyoQ, 20.000, 30.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
lnClssYHVsE, 30.000, 40.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
mmL5v36jxhQ, 490.000, 500.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
n5CNDVuGtK0, 80.000, 90.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
nagRgYmxhx8, 220.000, 230.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
ne4IMxs-hMk, 40.000, 50.000,"['/m/012n7d', '/m/03kmc9']"
oKQ81e_wp1s, 90.000, 100.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
osFCx4URNyk, 0.000, 10.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
p6qP4VjBT6Y, 0.000, 10.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
pC_R_4iYp-M, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
pD4AgkHStLU, 190.000, 200.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
psEwlH67wBM, 0.000, 10.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
rOLZwhvVT8I, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
sySBWsgVk5Y, 20.000, 30.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
t1_81iXEZys, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
t2DrvtWfCqE, 60.000, 70.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
u9aHjYGbl5o, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
vAyqGgwby8w, 0.000, 10.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
vSUTqtuykDc, 1.000, 11.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
vqhJYScDw9k, 190.000, 200.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
w1Kb6BNXJQg, 30.000, 40.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
wBxdxy9nTkg, 20.000, 30.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
wE9Wmfcscic, 0.000, 10.000,"['/m/012n7d', '/m/07yv9', '/m/09x0r', '/m/0btp2', '/m/0k4j']"
weJn1J9RQcI, 0.000, 10.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
wwWMqxv5bpM, 30.000, 40.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']"
xHTMsmh7keA, 28.000, 38.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']"
xOdntZSjcds, 50.000, 60.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']"
xf0s8sYidso, 6.000, 16.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
ysNK5RVF3Zw, 0.000, 10.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
zjk9aUW5c_0, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
--gKfbzT1VY, 20.000, 30.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9', '/t/dd00128']"
--ljM2Kojag, 30.000, 40.000,"['/m/012n7d', '/m/04rlf', '/m/07yv9']"
-0Eem_FuIto, 15.000, 25.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
-0Hf2I8AFI8, 20.000, 30.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07qv_d5', '/m/07r04', '/m/07yv9', '/m/0btp2', '/m/0k4j']"
-0cEwYGf9OE, 0.000, 10.000,"['/m/028v0c', '/m/03j1ly', '/m/07yv9', '/m/0k4j', '/t/dd00128']"
-122tCXtFhU, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq', '/m/07yv9', '/m/0k4j']"
-1U98XBTyB4, 30.000, 40.000,['/m/04qvtq']
-25_9bBK-l4, 30.000, 40.000,['/m/04qvtq']
-2GlU3e0nTU, 170.000, 180.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-2sT5oBBWWY, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']"
-35_gJSKJkk, 10.000, 20.000,"['/m/012ndj', '/m/07r04', '/m/07yv9']"
-3oUmjZ4b9o, 50.000, 60.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']"
-45cKZA7Jww, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07q2z82', '/m/07r04', '/m/07yv9', '/m/09x0r', '/t/dd00066']"
-4B435WQvag, 20.000, 30.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04']"
-4F1TX-T6T4, 30.000, 40.000,"['/m/012n7d', '/m/07yv9']"
-4Sby7Cij8w, 120.000, 130.000,"['/m/012ndj', '/m/09x0r', '/m/0ytgt']"
-4XAxg0q2tU, 70.000, 80.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']"
-5EiLqHCLuI, 0.000, 10.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-5o4C4ZtHSU, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-6WqJCSmkCw, 70.000, 80.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-6qVAuzmscU, 0.000, 10.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
-6qhtwdfGOA, 23.000, 33.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
-72pUaj4jLE, 10.000, 20.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/07yv9']"
-7HVWUwyMig, 30.000, 40.000,"['/m/012n7d', '/m/07yv9', '/m/09x0r']"
-8K_V4VdkfM, 20.000, 30.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/07yv9', '/m/09x0r']"
-8mcyL3kWNQ, 330.000, 340.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-8uyNBFbdFc, 40.000, 50.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']"
-92omiHkXQE, 500.000, 510.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-9pUUT-6o8U, 30.000, 40.000,"['/m/012n7d', '/m/07yv9', '/m/09x0r']"
-A2_dAe2rKo, 30.000, 40.000,"['/m/03j1ly', '/m/07q2z82', '/m/07yv9', '/m/0k4j']"
-AF7wp3ezww, 140.000, 150.000,"['/m/04qvtq', '/m/07yv9', '/m/0k4j']"
-AFASmp1fpk, 6.000, 16.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-AwaisiFQjY, 70.000, 80.000,"['/m/012n7d', '/m/07yv9', '/m/09x0r', '/t/dd00128']"
-DFmWLDkxQg, 30.000, 40.000,"['/m/02mk9', '/m/03j1ly', '/m/07pb8fc', '/m/07q2z82', '/m/07r04', '/m/07yv9', '/m/09x0r']"
-DXUMMSmd-A, 20.000, 30.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/07r04', '/m/07yv9']"
-Ei2LE71Dfg, 20.000, 30.000,"['/m/012n7d', '/m/03j1ly', '/m/07r04', '/m/07yv9']"
-F2lk9A8B8M, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-FDuKNxl3KE, 0.000, 10.000,"['/m/012n7d', '/m/07q2z82', '/m/07yv9']"
-FRe0sQuLpk, 24.000, 34.000,"['/m/03j1ly', '/m/07r04', '/m/07yv9']"
-G4K4IAbB3o, 390.000, 400.000,"['/m/04qvtq', '/m/04rlf', '/m/09x0r']"
-GPv09qi9A8, 120.000, 130.000,['/m/04qvtq']
-HIPemUA6V4, 220.000, 230.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9', '/m/09x0r']"
-HZbxhzv_SU, 10.000, 20.000,"['/m/012n7d', '/m/068hy', '/m/07qf0zm', '/m/0bt9lr', '/m/0jbk']"
-Hi-WpRGUpc, 9.000, 19.000,"['/m/03kmc9', '/m/04qvtq', '/m/09x0r']"
-HxRz4w60-Y, 150.000, 160.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-Jsu4dbuO4A, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']"
-KsPTvgJJVE, 350.000, 360.000,"['/m/012ndj', '/m/04qvtq', '/m/04rlf', '/m/09x0r']"
-LGTb-xyjzA, 11.000, 21.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-LMA6Y2P5MY, 160.000, 170.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-MfBpxtGQmE, 20.000, 30.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-Mqa-jaS9SU, 10.000, 20.000,"['/m/03kmc9', '/m/04qvtq', '/m/09x0r']"
-Nc_WkxjQuc, 30.000, 40.000,"['/m/012ndj', '/m/04qvtq']"
-OtwXXpRB5I, 10.000, 20.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
-PRrNx6_MD0, 16.000, 26.000,"['/m/012ndj', '/m/07r04', '/m/07yv9']"
-Pg4vVPs4bE, 30.000, 40.000,"['/m/04qvtq', '/m/07yv9', '/m/0k4j']"
-QBo1W2w8II, 30.000, 40.000,['/m/012ndj']
-QX-ddNtUvE, 24.000, 34.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/07yv9']"
-RlUu1el2G4, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07yv9']"
-SRUaM41sJI, 180.000, 190.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
-SYDLBJMPSs, 80.000, 90.000,"['/m/012n7d', '/m/07yv9', '/m/09x0r']"
-SkO97C81Ms, 30.000, 40.000,"['/m/012ndj', '/m/02mk9', '/m/03j1ly', '/m/07yv9', '/t/dd00067']"
-SvcF5Z_yEw, 30.000, 40.000,"['/m/03j1ly', '/m/07r04', '/m/07yv9']"
-T8QHPXfIC4, 13.000, 23.000,"['/m/012ndj', '/m/02mk9', '/m/03j1ly', '/m/07yv9']"
-TCqYh0NeRk, 30.000, 40.000,"['/m/012f08', '/m/03j1ly', '/m/03kmc9', '/m/07yv9']"
-UBVqmhbT50, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-UCf_-3yzWU, 290.000, 300.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-USiTjZoh88, 30.000, 40.000,"['/m/012ndj', '/m/09x0r']"
-VULyMtKazE, 0.000, 7.000,"['/m/04qvtq', '/m/07yv9', '/m/0k4j']"
-X0vNLwH1C0, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']"
-XRiLbb3Syo, 2.000, 12.000,"['/m/04qvtq', '/m/09x0r']"
-XrpzGb6xCU, 190.000, 200.000,"['/m/04qvtq', '/m/07yv9']"
-YsrLG2K1TE, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9']"
-Z3ByS_RCwI, 30.000, 40.000,"['/m/012ndj', '/m/09x0r']"
-ZeMV790MXE, 10.000, 20.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-ZjtUhLYB3w, 70.000, 80.000,"['/m/012f08', '/m/03j1ly', '/m/07r04', '/m/07yv9', '/m/09x0r', '/m/0k4j']"
-ZtZOcg3s7M, 30.000, 40.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-_8fdnv6Crg, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-ab9rbF2it4, 100.000, 110.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-az6BooRLxw, 40.000, 50.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-bfdae74ahc, 0.000, 10.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-bs3c27rEtc, 30.000, 40.000,"['/m/04qvtq', '/m/09x0r']"
-cOjJ0Nvtlw, 23.000, 33.000,"['/m/012ndj', '/m/07yv9', '/m/09x0r']"
-cbYvBBXE6A, 12.000, 22.000,"['/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9', '/m/09x0r', '/m/0k4j']"
-cvGWVM9P-M, 230.000, 240.000,"['/m/04qvtq', '/m/07yv9', '/m/09x0r', '/t/dd00128']"
-cvWHrNC6ts, 3.000, 13.000,['/m/03j1ly']
-d-T8Y9-TOg, 17.000, 27.000,"['/m/012n7d', '/m/07yv9']"
-dBTGdL4RFs, 30.000, 40.000,"['/m/03kmc9', '/m/04qvtq']"
-dcrL5JLmvo, 11.000, 21.000,"['/m/012n7d', '/m/07yv9']"
-eFFN1zrSIw, 100.000, 110.000,"['/m/03j1ly', '/m/07yv9', '/m/09x0r']"
-fCSO8SVWZU, 6.000, 16.000,"['/m/012n7d', '/m/07yv9']"
-fGFQTGd2nA, 10.000, 20.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-hA1yMrEXz0, 10.000, 20.000,"['/m/012n7d', '/m/012ndj', '/m/04qvtq', '/m/09x0r']"
-haSUR_IUto, 30.000, 40.000,['/m/04qvtq']
-hplTh4SGvs, 90.000, 100.000,"['/m/012ndj', '/m/03kmc9', '/m/04rlf', '/m/09x0r']"
-htXuLUEglY, 30.000, 40.000,"['/m/03j1ly', '/m/07yv9', '/m/09x0r']"
-jCHiO0dPDw, 0.000, 10.000,"['/m/012f08', '/m/012ndj', '/m/03j1ly', '/m/07r04', '/m/07yv9']"
-j_icZ4nywU, 300.000, 310.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-jjdbrn9hh8, 60.000, 70.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
